Kategorie-ID,OnBuy Kategoriepfad
9873,"Kunst, Basteln & Nähen > Perlen- & Schmuckherstellung > Werkzeuge & Ausrüstung > Schmuck Polier- & Polier-Werkzeuge"
9884,"Kunst, Basteln & Nähen > Keramik- & Töpferei > Keramik- & Töpferei-Materialien & -Komponenten > Biskuitware"
9885,"Kunst, Basteln & Nähen > Keramik- & Töpferei > Keramik- & Töpferei-Materialien & -Komponenten > Keramik & Töpferei-Glasuren"
9889,"Kunst, Basteln & Nähen > Keramik- & Töpferei > Keramik- & Töpferei-Materialien & -Komponenten > Keramik Abziehbilder"
18222,"Kunst, Basteln & Nähen > Keramik- & Töpferei > Keramik- & Töpferei-Materialien & -Komponenten > Keramik Farbe"
9887,"Kunst, Basteln & Nähen > Keramik- & Töpferei > Keramik- & Töpferei-Materialien & -Komponenten > Ton Extruder, Mixer & Pressen"
9888,"Kunst, Basteln & Nähen > Keramik- & Töpferei > Keramik- & Töpferei-Materialien & -Komponenten > Ton Formen"
9886,"Kunst, Basteln & Nähen > Keramik- & Töpferei > Keramik- & Töpferei-Materialien & -Komponenten > Töpferei-Ton"
9882,"Kunst, Basteln & Nähen > Keramik- & Töpferei > Keramik- & Töpferei-Werkzeuge & -Ausrüstung > Töpferei-Brennöfen & Brenn-Zubehör"
9881,"Kunst, Basteln & Nähen > Keramik- & Töpferei > Keramik- & Töpferei-Werkzeuge & -Ausrüstung > Töpferei-Räder & Zubehör"
9883,"Kunst, Basteln & Nähen > Keramik- & Töpferei > Keramik- & Töpferei-Werkzeuge & -Ausrüstung > Modellier-Werkzeuge"
18208,"Kunst, Basteln & Nähen > Zeichenbedarf > Kalligrafie & Lettering > Kalligrafie-Tinte"
18207,"Kunst, Basteln & Nähen > Zeichenbedarf > Kalligrafie & Lettering > Kalligrafie-Federn"
18206,"Kunst, Basteln & Nähen > Zeichenbedarf > Kalligrafie & Lettering > Kalligrafie-Stifte"
9829,"Kunst, Basteln & Nähen > Zeichenbedarf > Kalligrafie & Lettering > Kalligrafie-Sets"
18205,"Kunst, Basteln & Nähen > Zeichenbedarf > Kalligrafie & Lettering > Chinese Kalligrafie-Pinsel"
18210,"Kunst, Basteln & Nähen > Zeichenbedarf > Zeichenmedien > Erwachsenen-Malbücher"
9836,"Kunst, Basteln & Nähen > Zeichenbedarf > Zeichenmedien > Kunst Charcoal"
9837,"Kunst, Basteln & Nähen > Zeichenbedarf > Zeichenmedien > Kunst Crayons"
9826,"Kunst, Basteln & Nähen > Zeichenbedarf > Zeichenmedien > Kunst Zeichen-Sets"
9832,"Kunst, Basteln & Nähen > Zeichenbedarf > Zeichenmedien > Kunst Fixatives"
9839,"Kunst, Basteln & Nähen > Zeichenbedarf > Zeichenmedien > Kunst Marker"
9840,"Kunst, Basteln & Nähen > Zeichenbedarf > Zeichenmedien > Kunst Pastels"
9838,"Kunst, Basteln & Nähen > Zeichenbedarf > Zeichenmedien > Zeichen-Tinte"
16139,"Kunst, Basteln & Nähen > Zeichenbedarf > Zeichenmedien > Zeichen-Bleistifte"
18203,"Kunst, Basteln & Nähen > Zeichenbedarf > Zeichenmedien > Zeichen-Stifte"
10093,"Kunst, Basteln & Nähen > Zeichenbedarf > Zeichenmedien > Sketchbooks"
9827,"Kunst, Basteln & Nähen > Zeichenbedarf > Zeichenwerkzeuge > Kunst Mixer"
9831,"Kunst, Basteln & Nähen > Zeichenbedarf > Zeichenwerkzeuge > Kunst Bleistift Sharpeners"
9833,"Kunst, Basteln & Nähen > Zeichenbedarf > Zeichenwerkzeuge > Kunst Projectors & Licht Boxen"
18209,"Kunst, Basteln & Nähen > Zeichenbedarf > Zeichenwerkzeuge > Zeichen-Radiergummis"
9834,"Kunst, Basteln & Nähen > Zeichenbedarf > Zeichenwerkzeuge > Zeichen-Mannequin"
9828,"Kunst, Basteln & Nähen > Zeichenbedarf > Zeichenwerkzeuge > Zeichenwerkzeuge"
9845,"Kunst, Basteln & Nähen > Stoffmalerei- & Dekorationsbedarf > Stoffapplikation & Transfers > Stoff Decorating Sets"
9843,"Kunst, Basteln & Nähen > Stoffmalerei- & Dekorationsbedarf > Stoffapplikation & Transfers > Stoff Farben"
9848,"Kunst, Basteln & Nähen > Stoffmalerei- & Dekorationsbedarf > Stoffapplikation & Transfers > Stoff Wachse"
9844,"Kunst, Basteln & Nähen > Stoffmalerei- & Dekorationsbedarf > Stoffapplikation & Transfers > Transfer Papiere"
9842,"Kunst, Basteln & Nähen > Stoffmalerei- & Dekorationsbedarf > Stoffbehandlungen & -veredelungen > Stoff Dyes"
9846,"Kunst, Basteln & Nähen > Stoffmalerei- & Dekorationsbedarf > Stoffbehandlungen & -veredelungen > Stoff Fixatives"
18223,"Kunst, Basteln & Nähen > Lederwarenbedarf > Lederfarben & -finishs > Leder Dye"
18224,"Kunst, Basteln & Nähen > Lederwarenbedarf > Lederfarben & -finishs > Leder Kleber"
9984,"Kunst, Basteln & Nähen > Lederwarenbedarf > Lederfarben & -finishs > Leder Behandlungen & Farben"
10406,"Kunst, Basteln & Nähen > Lederwarenbedarf > Lederwaren-Beschläge > Leathercraft Conchos & Ringe"
10407,"Kunst, Basteln & Nähen > Lederwarenbedarf > Lederwaren-Beschläge > Leathercraft Studs, Rivets & Tacks"
11716,"Kunst, Basteln & Nähen > Lederwarenbedarf > Lederwaren-Sets & -Werkzeuge > Leathercraft Sets"
9985,"Kunst, Basteln & Nähen > Lederwarenbedarf > Lederwaren-Sets & -Werkzeuge > Leathercraft Lacing Nadeln"
11715,"Kunst, Basteln & Nähen > Lederwarenbedarf > Lederwaren-Sets & -Werkzeuge > Leathercraft Werkzeuge"
9987,"Kunst, Basteln & Nähen > Lederwarenbedarf > Lederwaren-Leder > Leder Schnur"
9988,"Kunst, Basteln & Nähen > Lederwarenbedarf > Lederwaren-Leder > Leder Strips"
10042,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Stickerei & Kreuzstich > Completed Embroidery Pieces"
10049,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Stickerei & Kreuzstich > Crewel Embroidery Sets"
12831,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Stickerei & Kreuzstich > Cross Stitch Stoff"
10047,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Stickerei & Kreuzstich > Cross Stitch Sets"
10052,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Stickerei & Kreuzstich > Embroidery Hoops"
10039,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Stickerei & Kreuzstich > Embroidery Maschine Bobbins"
10038,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Stickerei & Kreuzstich > Embroidery Maschine Hoops"
10035,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Stickerei & Kreuzstich > Embroidery Maschine Nadeln"
10036,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Stickerei & Kreuzstich > Embroidery Maschine Teile"
10040,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Stickerei & Kreuzstich > Embroidery Maschine Stabilisers"
10033,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Stickerei & Kreuzstich > Embroidery Maschinen"
10041,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Stickerei & Kreuzstich > Embroidery Patterns"
10053,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Stickerei & Kreuzstich > Embroidery Stitch Marker"
10046,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Stickerei & Kreuzstich > Hardanger Embroidery Sets"
10048,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Stickerei & Kreuzstich > Needlepoint & Tapestry Sets"
10050,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Stickerei & Kreuzstich > Locher Nadel Embroidery Sets"
10051,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Stickerei & Kreuzstich > Band Embroidery Sets"
10004,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Strick- & Häkelbedarf > Crochet Baumwolle"
8070,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Strick- & Häkelbedarf > Crochet Hooks"
10002,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Strick- & Häkelbedarf > Crochet Sets"
18226,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Strick- & Häkelbedarf > Crochet Patterns"
10008,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Strick- & Häkelbedarf > Knitting & Crochet Haberdashery"
10005,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Strick- & Häkelbedarf > Knitting Tafeln & Looms"
10003,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Strick- & Häkelbedarf > Knitting Sets"
8069,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Strick- & Häkelbedarf > Knitting Nadeln"
10006,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Strick- & Häkelbedarf > Knitting Patterns"
10030,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Strick- & Häkelbedarf > Lace-Making Bedarf"
10009,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Strick- & Häkelbedarf > Maschine Knitting Bedarf"
10026,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Strick- & Häkelbedarf > Rug Making Sets"
18225,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Strick- & Häkelbedarf > Tatting"
18227,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Makramee > Makramee-Schnüre"
18228,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Makramee > Makramee-Patterns"
9997,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Patchwork-Bedarf > Quilt Batting"
18229,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Patchwork-Bedarf > Quilt Binding"
9996,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Patchwork-Bedarf > Quilting Sets"
10031,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Patchwork-Bedarf > Quilting Nadeln"
9915,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Patchwork-Bedarf > Quilting Lineale"
10000,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Patchwork-Bedarf > Quilting Templates"
9999,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Patchwork-Bedarf > Quilting Werkzeuge"
10016,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Spinn- & Filzbedarf > Bastel Spindles"
10021,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Spinn- & Filzbedarf > Filzsets"
10024,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Spinn- & Filzbedarf > Filzmatten"
10022,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Spinn- & Filzbedarf > Filznadeln & -stifte"
18230,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Spinn- & Filzbedarf > Filzwolle"
10020,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Spinn- & Filzbedarf > Nadel Filzen-Maschinen"
10023,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Spinn- & Filzbedarf > Nadel Filzen-Formen"
10017,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Spinn- & Filzbedarf > Spinning & Filzen-Carders"
10015,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Spinn- & Filzbedarf > Spinning Räder"
10012,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Webebedarf > Weaving Loom Zubehör"
10011,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Webebedarf > Weaving Looms"
10013,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Webebedarf > Wolle Winders"
10069,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Garn & Faden > Embroidery Faden"
10070,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Garn & Faden > Overlocker Faden"
10071,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Garn & Faden > Quilting Faden"
10068,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Garn & Faden > Näh-Faden"
11749,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Garn & Faden > Wolle"
10072,"Kunst, Basteln & Nähen > Handarbeitsbedarf > Garn & Faden > Garn"
8723,"Kunst, Basteln & Nähen > Andere Basteleien > 3D-Druck > 3D Drucker Filament"
10483,"Kunst, Basteln & Nähen > Andere Basteleien > 3D-Druck > 3D Drucker"
18215,"Kunst, Basteln & Nähen > Andere Basteleien > 3D-Druck > 3D Druck-Stifte"
34248,"Kunst, Basteln & Nähen > Andere Basteleien > Korbflechten > Basket Making Sets"
34249,"Kunst, Basteln & Nähen > Andere Basteleien > Korbflechten > Basket Weaving Reed"
34251,"Kunst, Basteln & Nähen > Andere Basteleien > Badekugel-Herstellung > Bath Bomb Ingredients"
24507,"Kunst, Basteln & Nähen > Andere Basteleien > Badekugel-Herstellung > Bath Bomb Sets"
34250,"Kunst, Basteln & Nähen > Andere Basteleien > Badekugel-Herstellung > Bath Bomb Formen, Werkzeuge & Ausrüstung"
9857,"Kunst, Basteln & Nähen > Andere Basteleien > Kerzen- & Seifenherstellung > Kerzen- & Seife Dyes"
9856,"Kunst, Basteln & Nähen > Andere Basteleien > Kerzen- & Seifenherstellung > Kerzen- & Seife Formen"
9855,"Kunst, Basteln & Nähen > Andere Basteleien > Kerzen- & Seifenherstellung > Kerzen- & Seife Scents"
9858,"Kunst, Basteln & Nähen > Andere Basteleien > Kerzen- & Seifenherstellung > Kerzen-Making Sets"
9854,"Kunst, Basteln & Nähen > Andere Basteleien > Kerzen- & Seifenherstellung > Kerzen-Wachs"
9853,"Kunst, Basteln & Nähen > Andere Basteleien > Kerzen- & Seifenherstellung > Kerzen-Wicks"
18244,"Kunst, Basteln & Nähen > Andere Basteleien > Kerzen- & Seifenherstellung > Seife Making Sets"
34253,"Kunst, Basteln & Nähen > Andere Basteleien > Uhrmacherei > Uhr Material & Teile"
34252,"Kunst, Basteln & Nähen > Andere Basteleien > Uhrmacherei > Uhr & Uhr Making Werkzeuge"
34254,"Kunst, Basteln & Nähen > Andere Basteleien > Blumenstecken > Blumen-Schaumstoff"
34256,"Kunst, Basteln & Nähen > Andere Basteleien > Blumenstecken > Blume Arrangement Werkzeuge"
34255,"Kunst, Basteln & Nähen > Andere Basteleien > Blumenstecken > Blume Wrapping Papiere"
34242,"Kunst, Basteln & Nähen > Andere Basteleien > Metallbearbeitungsbedarf > Metalworking Materialien"
34241,"Kunst, Basteln & Nähen > Andere Basteleien > Metallbearbeitungsbedarf > Metalworking Werkzeuge"
18197,"Kunst, Basteln & Nähen > Malbedarf > Künstlerfarben > Acryl-Farben"
18201,"Kunst, Basteln & Nähen > Malbedarf > Künstlerfarben > Kunst Spray Farbe"
18199,"Kunst, Basteln & Nähen > Malbedarf > Künstlerfarben > Gouache Farbe"
18200,"Kunst, Basteln & Nähen > Malbedarf > Künstlerfarben > Öl Farben"
18198,"Kunst, Basteln & Nähen > Malbedarf > Künstlerfarben > Watercolour Farbe"
18202,"Kunst, Basteln & Nähen > Malbedarf > Malsets & -aktivitäten > Kunst Painting Sets"
16117,"Kunst, Basteln & Nähen > Malbedarf > Malsets & -aktivitäten > Diamond Painting"
9902,"Kunst, Basteln & Nähen > Malbedarf > Malsets & -aktivitäten > Glas Painting"
9806,"Kunst, Basteln & Nähen > Malbedarf > Malsets & -aktivitäten > Farbe By Numbers"
9805,"Kunst, Basteln & Nähen > Malbedarf > Malwerkzeuge > Kunst Paintbrushes"
9825,"Kunst, Basteln & Nähen > Malbedarf > Malwerkzeuge > Kunst Painting Schablonen"
9810,"Kunst, Basteln & Nähen > Malbedarf > Malwerkzeuge > Farbe Palettes"
9811,"Kunst, Basteln & Nähen > Malbedarf > Malwerkzeuge > Palette Messer"
9809,"Kunst, Basteln & Nähen > Malbedarf > Vorbereitungsbedarf > Kunst Farbe Primers & Varnishes"
9808,"Kunst, Basteln & Nähen > Malbedarf > Vorbereitungsbedarf > Farbe Mediums"
9992,"Kunst, Basteln & Nähen > Druckgrafikbedarf > Druckpressen & Zubehör > Druck-Presse Zubehör"
9991,"Kunst, Basteln & Nähen > Druckgrafikbedarf > Druckpressen & Zubehör > Druck-Pressen"
9995,"Kunst, Basteln & Nähen > Druckgrafikbedarf > Drucktechniken & -werkzeuge > Etching & Lithography Bedarf"
18231,"Kunst, Basteln & Nähen > Druckgrafikbedarf > Drucktechniken & -werkzeuge > Lino Druck-"
9994,"Kunst, Basteln & Nähen > Druckgrafikbedarf > Drucktechniken & -werkzeuge > Relief Druck-"
9990,"Kunst, Basteln & Nähen > Druckgrafikbedarf > Drucktechniken & -werkzeuge > Bildschirm Druck-Bedarf"
25889,"Kunst, Basteln & Nähen > Druckgrafikbedarf > Drucktechniken & -werkzeuge > Sublimation Druck-"
9993,"Kunst, Basteln & Nähen > Druckgrafikbedarf > Druckgrafik-Tinten & -Materialien > Druckgrafik-Tinten"
9952,"Kunst, Basteln & Nähen > Scrapbooking & Papierbasteln > Stanz- & Prägebedarf > Schneide-Stanzformen"
9950,"Kunst, Basteln & Nähen > Scrapbooking & Papierbasteln > Stanz- & Prägebedarf > Stanzform Cut & Präge-Maschinen"
9951,"Kunst, Basteln & Nähen > Scrapbooking & Papierbasteln > Stanz- & Prägebedarf > Stanzform Cut Embellishments"
9954,"Kunst, Basteln & Nähen > Scrapbooking & Papierbasteln > Stanz- & Prägebedarf > Stanzform Schneide-Cartridges"
9953,"Kunst, Basteln & Nähen > Scrapbooking & Papierbasteln > Stanz- & Prägebedarf > Stanzform Schneide-Maschine Teile"
9955,"Kunst, Basteln & Nähen > Scrapbooking & Papierbasteln > Stanz- & Prägebedarf > Stanzform Schneide-Vinyl"
18232,"Kunst, Basteln & Nähen > Scrapbooking & Papierbasteln > Stanz- & Prägebedarf > Präge-Pulver"
9956,"Kunst, Basteln & Nähen > Scrapbooking & Papierbasteln > Stanz- & Prägebedarf > Präge-Schablonen & Ordner"
